RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RAJ2000,DEJ2000
132.88154384219,11.57339008132,604894848848532352,0.047,0.0245,0.5841,0.055,2.891,-2.889,0.058,0.109,0.043,1.068,6214.24171,2.6462,16.203896,3239.9,10.455,16.562218,4291.7,11.745,15.666331,0.895886,,,,,0,0,0,1,0,0,0,0,1,1,0,5497.9,4.638,-0.4438,1248.226,0.0769,,121881328815798576,1237671124833468672,,,URAT1-508147354,J085131.57+113424.2,5188400,N8X7006836,,08513157+1134242,,132.88155694949,11.57338959756
132.86621817382,11.58257595916,604894913272261632,0.0231,0.0121,1.1285,0.0269,11.505,-11.146,0.028,-2.851,0.02,1.016,23180.17688,4.6401,14.774575,11883.0,13.636,15.151203,16044.0,13.356,14.234624,0.916579,,,,,0,0,0,1,1,0,0,0,1,1,0,5494.2,4.4891,-0.2449,765.8128,0.0375,,121891328662799600,1237671124833468672,,,URAT1-508147341,J085127.90+113457.2,5188399,N8X7000958,,08512790+1134573,,132.86626874063,11.58258862953
132.87305024109,11.57463455684,604894913272281856,0.1735,0.0982,1.3594,0.1965,11.758,-11.39,0.211,-2.917,0.161,1.01,657.30581,1.1071,18.642948,143.96,7.8668,19.94293,770.17,9.3457,17.531422,2.411509,,,,,0,0,0,0,0,0,0,0,1,0,0,3599.6,4.3078,-0.2965,1189.4742,0.7013,,121891328731050080,1237671124833468928,,,URAT1-508147346,J085129.53+113428.5,,N8X7006841,,08512955+1134288,,132.87310191455,11.57464752292
132.87415725391,11.57746211764,604894913272282880,0.0989,0.0521,0.3036,0.1123,5.046,-3.824,0.12,-3.293,0.089,0.975,1458.22551,1.3632,17.777805,769.35,7.2641,18.123238,976.25,8.8951,17.273994,0.849243,,,,,0,0,0,0,0,0,0,0,1,1,0,5535.5,4.6595,-0.8194,2501.2322,0.0083,,121891328741973472,1237671124833468672,,,URAT1-508147347,J085129.80+113438.9,,N8X7006860,,08512980+1134387,,132.87417460054,11.57747675419
132.8674320093,11.57648515041,604894917568011520,0.1403,0.0789,0.7769,0.1598,11.443,-11.155,0.17,-2.551,0.13,1.002,855.53716,1.1765,18.35677,235.74,9.8121,19.407444,921.84,10.238,17.336258,2.071186,,,,,0,0,0,0,0,0,0,0,1,0,0,3493.7,4.4056,-1.3715,498.6794,0.2823,,121891328674792288,1237671124833468928,,,URAT1-508147343,J085128.19+113435.3,,N8X7006854,,08512820+1134354,,132.86748261682,11.5764964881
132.85932472108,11.57636804622,604894917568012800,0.2759,0.1539,2.059,0.3159,9.26,-7.512,0.32,5.414,0.253,0.96,311.88746,0.79028,19.452372,63.843,6.4554,20.825752,383.31,7.8994,18.289015,2.536737,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121891328593762128,1237671124833468928,,,,J085126.24+113434.8,,N8X7006850,,08512624+1134350,,132.85935880182,11.57634398506
132.81473182584,11.57521221994,604895020647235712,0.2816,0.1712,1.3148,0.3303,18.382,-9.866,0.357,-15.51,0.318,1.052,336.75355,0.82332,19.369087,66.101,5.7542,20.788025,400.85,8.1327,18.240454,2.547571,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121891328147830784,1237671124833468928,,,URAT1-508147301,J085115.54+113430.8,,N8X7006842,,08511550+1134309,,132.81477658377,11.57528115223
132.81177592268,11.56839728031,604895020647284864,0.6262,0.3777,0.3487,0.7134,3.898,-3.897,0.77,0.073,0.598,1.014,140.05431,0.6766,20.321625,51.013,7.1807,21.06934,160.13,9.8586,19.236687,1.832653,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121881328118242576,1237671124833469184,,,,J085114.82+113404.8,,N8X7006800,,,,132.81179360109,11.5683969568
132.82898321088,11.58089954754,604895050711237248,0.1416,0.0825,0.8146,0.1635,3.166,-2.393,0.17,-2.073,0.138,0.965,863.54769,1.2153,18.346651,316.63,8.2114,19.087158,793.66,12.075,17.498812,1.588347,,,,,0,0,0,0,0,0,0,0,1,0,0,3897.9,4.6276,-1.6608,747.5825,0.0039,,121891328290287584,1237671124833468928,,,URAT1-508147316,,,N8X7006877,,08511895+1134510,,132.82899406925,11.58090876123
132.82666292065,11.58038287604,604895055006971392,0.3989,0.2347,0.7664,0.4542,2.55,-2.52,0.464,-0.389,0.387,0.98,194.88783,0.66927,19.962906,98.898,7.6859,20.350574,131.05,9.9677,19.454287,0.896288,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121891328267016944,1237671124833468928,,,,,,N8X7006874,,,,132.82667435427,11.5803846038
132.81970442754,11.58127858169,604895055006972800,0.0414,0.0232,1.1485,0.0478,11.153,-10.836,0.055,-2.637,0.044,1.067,7205.38448,3.0585,16.043224,3143.8,11.837,16.594904,5767.2,11.122,15.34548,1.249424,,,,,0,0,0,1,0,0,0,0,1,1,0,4677.9,4.5529,0.0876,865.3883,0.0692,,121891328197648032,1237671124833468672,,,URAT1-508147306,J085116.73+113452.6,5188401,N8X7006884,,08511674+1134526,,132.81975358937,11.5812903039
132.8293561125,11.57950840156,604895055007023104,0.1376,0.0793,0.0322,0.1593,6.882,-3.742,0.18,-5.775,0.134,1.015,910.14383,1.2323,18.289593,470.17,9.0338,18.657896,637.69,10.738,17.736364,0.921532,,,,,0,0,0,0,0,0,0,0,1,0,0,5216.4,4.7694,-1.3727,2258.1553,0.003,,121891328294025920,1237671124833468928,,,URAT1-508147317,,,N8X7006876,,,,132.8293730902,11.57953406866
